time,high,low,open,volumefrom,volumeto,close
2017-12-26,20508.83,18177.37,18293.79,483.13,9558787.61,20157.12
2017-12-27,20932.85,18788.04,20171.97,424.15,8473658.4,19762.91
2017-12-28,19807.37,18097.69,19762.91,464.18,8735150.56,18726.28
2017-12-29,19500.18,18317.37,18726.28,445.17,8485017.23,19051.92
2017-12-30,19292.45,16723.1,19051.92,700.51,12401338.74,16843.25
2017-12-31,18667.19,16808.25,16887.89,397.31,7081407.61,18323.54
2018-01-01,18518.2,17092.04,18323.54,527.43,9351955.28,17611.39
2018-01-02,18908.73,16923.67,17596.8,897.24,16094882.13,18382.94
2018-01-03,19070.14,18162.46,18382.94,507.26,9528561.6,18837.62
2018-01-04,18999.58,17995.08,18837.06,707.18,13207950.86,18897.7
2018-01-05,20373.87,18424.76,18897.7,1030.08,20022570.88,20287.39
2018-01-06,21206.03,19901.47,20287.39,499.21,10174257.98,20872.56
2018-01-07,20908.74,15195.92,20872.62,812.84,16007921.81,19809.39
2018-01-08,20478.82,17564.47,19807.46,698.57,13101697.65,18733.07
2018-01-09,19029.19,17792.19,18733.07,488.45,9048654.57,18334.02
2018-01-10,18438.59,17221.17,18130.72,757.46,13549087.29,18437.15
2018-01-11,18449.9,16491.25,18437.15,721.82,12567271.03,16967.63
2018-01-12,17925.89,16557.01,16976.36,654.86,11352371.91,17366.83
2018-01-13,18047.76,17217.03,17370.19,424.62,7525901.92,17714.44
2018-01-14,18051.11,16981.44,17710.61,480.99,8365298.0,17346.06
2018-01-15,17963.29,16819.86,17341.0,380.56,6641176.33,17328.83
2018-01-16,17337.17,12477.05,17318.71,1944.35,28560882.32,14461.89
2018-01-17,14879.76,11811.43,14461.2,1747.08,23026625.16,14084.19
2018-01-18,15427.77,13757.17,13928.88,986.46,14544782.53,14483.03
2018-01-19,15784.66,14291.0,14579.48,745.17,10950405.13,14495.89
2018-01-20,16100.45,14486.27,14489.23,761.5,11918462.42,15915.93
2018-01-21,15924.1,14301.46,15911.01,502.68,7525837.78,14853.43
2018-01-22,14964.43,12966.96,14855.05,826.51,11443496.92,13766.58
2018-01-23,14280.19,12964.78,13768.68,1099.16,15206595.28,13938.12
2018-01-24,14251.32,13353.92,13938.12,495.89,6919698.8,14178.11
2018-01-25,14353.07,13606.01,14178.11,523.86,7393166.97,14100.18
2018-01-26,14298.99,13089.56,14100.58,535.76,7424872.9,13869.98
2018-01-27,14345.54,13669.27,13869.98,391.62,5538994.48,14216.95
2018-01-28,14787.13,14126.49,14216.34,639.3,9254373.35,14611.25
2018-01-29,14710.52,13622.16,14611.25,566.66,7966374.33,13977.17
2018-01-30,14062.46,12124.89,13978.36,1093.19,14081003.31,12336.65
2018-01-31,12464.08,11864.46,12336.65,680.6,8311068.45,12297.2
2018-02-01,12368.14,10176.11,12295.97,1547.08,16937114.02,10471.24
2018-02-02,11089.09,9359.6,10483.86,1782.39,18332793.89,11025.05
2018-02-03,12008.15,10108.65,11024.51,693.92,7744952.89,11436.34
2018-02-04,11565.96,9958.15,11436.34,860.37,9223303.34,10330.89
2018-02-05,10552.84,8030.69,10328.59,2045.1,18060984.87,8380.17
2018-02-06,9540.7,6531.94,8380.17,2836.19,22737987.24,9276.82
2018-02-07,10624.79,8595.49,9279.4,1050.01,10306075.33,9167.08
2018-02-08,10511.08,9170.92,9217.57,691.25,7032306.17,10299.4
2018-02-09,10625.05,9815.59,10299.4,823.72,8524549.01,10579.4
2018-02-10,11141.07,10234.97,10616.3,667.51,7141009.21,10723.62
2018-02-11,10723.62,9725.38,10723.62,424.86,4393377.88,10338.87
2018-02-12,11160.8,10330.89,10334.56,701.99,7649263.32,11072.82
2018-02-13,11103.44,10661.82,11072.82,509.7,5546149.18,10872.25
2018-02-14,11846.86,10742.79,10872.25,826.34,9337127.06,11818.96
